Game Date,Away Team,Home Team,Start Time (ET),Total
2025-04-19,Miami Marlins,Philadelphia Phillies,2025-04-19T17:05:00Z,10.5
2025-04-19,Kansas City Royals,Detroit Tigers,2025-04-19T17:10:00Z,8.0
2025-04-19,Arizona Diamondbacks,Chicago Cubs,2025-04-19T18:20:00Z,7.5
2025-04-19,Seattle Mariners,Toronto Blue Jays,2025-04-19T19:07:00Z,8.0
2025-04-19,Cincinnati Reds,Baltimore Orioles,2025-04-19T20:05:00Z,9.0
2025-04-19,Cleveland Guardians,Pittsburgh Pirates,2025-04-19T20:05:00Z,8.0
2025-04-19,Los Angeles Dodgers,Texas Rangers,2025-04-19T20:05:00Z,8.0
2025-04-19,St. Louis Cardinals,New York Mets,2025-04-19T20:05:00Z,8.5
2025-04-19,Chicago White Sox,Boston Red Sox,2025-04-19T20:10:00Z,8.5
2025-04-19,New York Yankees,Tampa Bay Rays,2025-04-19T20:10:00Z,9.0
2025-04-19,Washington Nationals,Colorado Rockies,2025-04-19T20:11:00Z,9.0
2025-04-19,San Diego Padres,Houston Astros,2025-04-19T23:10:00Z,8.0
2025-04-19,Oakland Athletics,Milwaukee Brewers,2025-04-19T23:10:00Z,8.5
2025-04-19,Minnesota Twins,Atlanta Braves,2025-04-19T23:15:00Z,8.0
2025-04-19,San Francisco Giants,Los Angeles Angels,2025-04-20T01:38:00Z,8.5
